property_type,state,lat,lon,area_m2,price_usd
condo,Chihuahua,28.974293069733523,-106.10160489777903,269.7,
,chihuahua,28.855725586326862,-106.08957996939206,268.2,327355.13
apartment,CIUDAD DE MEXICO,19.163374389718726,-98.95058437174005,108.6,7215680.28
Townhouse,Sonora,29.13328754499975,-110.79135173748331,-282.8,18965969.11
Terreno,QUINTANA ROO,19.71764095885181,-88.40101320728986,81.1,11297383.16
,Puebla ,19.832804409377477,-98.15740906010988,76.2,120334.21
,Chiapas,17.433676057175017,-93.82178670698136,75.1,113975.81
Apartamento,nuevo leon,25.535721827472724,-99.97954081064995,310.0,468041.13
Land,Ciudad de Mexico ,20.067603389884894,-99.14532457251013,204.8,"$121,627.07"
,Veracruz ,18.6120359771844,-96.62710870881342,145.9,125412.34
Terreno,JALISCO,20.237292608672565,-103.11733939888086,48.4,47184.38
HOUSE,Yucatan,21.404179042678745,-89.68312739082768,186.6,269466.99
Departamento,CHIAPAS,16.152470056567296,-93.36344307258597,395.3,692801.96
condo,Guanajuato,21.634303779724224,-101.67647703161452,171.7,151941.79
Departamento,Jalisco ,21.36938749764815,-103.93182104573324,78.8,"$60,758.73"
apartment,Puebla,18.662825574954642,-98.06062781015788,353.1,138463.21
condo,GUANAJUATO,20.584021423766746,-101.17253964007924,278.1,405539.63
townhouse,Puebla,19.456107816089315,-97.95001812435962,59.0,80833.2
Terreno,Guanajuato,20.35989566844126,-101.65356183849246,393.9,118850.11
Villa,jalisco,20.77385129575187,-103.74864583958104,96.8,164496.17
House,Baja California,30.865323215864343,-115.07109463077472,346.7,220834.38
Villa,Puebla ,19.33691467289598,-98.34129130356142,,385307.18
Casa,Coahuila,26.776361334917254,-102.46060079649611,234.1,164801.17
,Baja California,31.302376774416246,-116.03041675000699,412.5,380842.54
Land,Puebla,19.662158470139268,-97.4135441442753,184.1,317043.49
house,Nuevo Leon,26.27556512988447,-99.2191957766618,169.8,113795.84
HOUSE,Guanajuato,,-101.18779814463312,133.7,135514.04
,Quintana Roo,18.719967289415276,-87.89011297506943,-54.3,464280.71
condo,CHIAPAS,16.51935386635374,-93.78395309913687,428.7,231856.39
Condo,Quintana Roo,999.99,-89.11766525905199,6702.7,6055205.95
villa,Yucatan ,20.597761813436627,-89.44110564787128,4976.3,
Townhouse,Baja California,31.137309951138107,-114.98244537283752,,268721.96
Condo,Baja California,31.15401164577132,-114.64946288343944,70.2,"$98,489.64"
house,nuevo leon,25.60145742539315,-100.02057695609152,248.0,332743.1
House,michoacan,19.461673741769633,-101.78140505232457,342.8,164257.59
Terreno,Veracruz ,19.27506594315141,-95.9576892171619,123.4,207292.4
Departamento,Veracruz ,18.4598835076924,-95.74432805400681,392.1,250286.35
Departamento,Veracruz,18.48288235056708,-96.12597543926991,73.2,45386.25
villa,Sonora,28.684905919109337,-109.5315847887715,285.8,478054.71
,Puebla,18.862252165831634,,314.4,396814.97
house,Veracruz,18.97435611254488,-95.608108835894,349.7,341632.82
Apartment,Guanajuato,20.267422611538947,-101.29686502074138,105.9,"$127,785.33"
apartment,chihuahua,28.063727774990294,-999.99,51.1,76953.98
Casa,Veracruz,19.09436700902467,-96.05442865677213,288.6,128433.42
House,OAXACA,17.779771180589755,-97.27988917299271,286.1,327706.68
apartment,NUEVO LEON,24.863137101272333,-99.9225780076677,358.3,481226.95
villa,Coahuila ,27.31186770548589,-102.06763139171484,6032.0,6303988.49
,Coahuila,26.671358460473968,-101.40933946213674,189.9,61967.72
HOUSE,Michoacan,19.24895025973655,-102.4476477242299,342.1,611635.78
land,sonora,29.287869052387162,-110.92258106995453,448.0,589470.77
condo,Quintana Roo,19.53381946256671,-88.49737544504194,303.0,"$451,287.99"
Villa,Sonora,29.88292607198585,-110.73141641289898,351.0,363000.02
Land,Veracruz,18.792464438038326,-96.38441496046208,,226595.07
House,BAJA CALIFORNIA,31.164918036584965,,396.0,"$356,865.90"
Land,Michoacan,,-101.62930600989073,352.5,244522.0
Casa,Ciudad de Mexico ,19.760176985535576,-99.60394483301229,61.0,98086.11
villa,Guanajuato,21.50806937849214,-101.77482835734462,387.5,535075.69
townhouse,Sonora,30.038847715538413,-111.0389591446672,,428272.47
land,Ciudad de Mexico,19.251105073185578,-99.67254815104221,390.7,514373.3
Land,Chiapas,17.338289634877125,-93.02032095219182,323.8,575925.95
Land,Coahuila,27.45961133060031,-102.27305947885468,260.4,427980.02
townhouse,Puebla,18.546376593516683,-98.04729584212016,64.0,101223.59
Apartment,Jalisco ,21.419057604600738,-103.00610796593472,137.6,82390.73
Apartment,Puebla,19.638730301644028,-98.93664491973315,345.1,138502.21
condo,Quintana Roo ,19.902193242176242,-88.28985103842618,347.1,163859.98
,GUANAJUATO,999.99,-101.48109816384937,169.0,258637.11
land,Veracruz,19.49022984415051,-96.68908402783252,438.0,"$509,342.44"
land,Guanajuato,21.113873883701665,-101.27682224031307,290.6,"$194,518.56"
,Ciudad de Mexico,20.1882643765499,-98.42666174426894,167.3,87636.16
Terreno,jalisco,20.896035502054016,-103.90324620091467,327.7,335482.67
house,Sonora,29.930124704223775,-110.39736715432936,244.8,218245.79
House,Veracruz,19.23121676114462,-96.60098004768614,403.5,707908.45
Apartment,Chiapas,17.433176863135287,-93.84275581706927,139.3,227772.13
apartment,chihuahua,28.361259624388882,-106.68775808389763,280.2,256760.94
,Nuevo Leon,26.189788444128915,-100.47287355409794,272.0,350031.87
house,Baja California ,30.702791308579418,-115.2885129049653,429.6,"$323,693.91"
House,GUANAJUATO,20.44151018510135,-101.16872547396905,208.2,"$335,015.36"
Departamento,OAXACA,16.286190803855547,-95.94832536241503,157.1,15550311.87
Apartment,Puebla,19.82286240310298,-97.7384701428801,435.4,761092.43
HOUSE,Chiapas,17.24796456408703,-92.77195187228,344.5,126753.51
townhouse,Chihuahua,28.99770107272101,-105.43274222259723,381.7,196750.67
Villa,Yucatan,,-88.70327484830612,182.5,327403.47
Land,Michoacan,19.423924059678754,-101.89393044339671,50.5,26046.84
Townhouse,Chihuahua ,28.699218409609635,-105.31597114052228,383.9,356239.28
,Michoacán,19.867049097595046,-102.11519958157012,-447.6,377871.48
land,Puebla,19.47215087987224,-98.99575988124232,154.0,107649.61
house,Quintana Roo,18.48414143412215,-89.2454451839887,38.0,"$14,755.80"
condo,Yucatan,21.01263687849544,-89.87538803422329,170.1,117292.65
Terreno,Sonora,28.997835986258394,-110.15249220052792,253.0,374536.09
,Michoacan,19.06594178193786,-999.99,292.0,216856.06
Casa,puebla,18.32661101947372,-98.20308861649082,,466796.43
Land,Jalisco,20.260803776566284,-103.35396194859955,3341.1,4400767.16
land,Guanajuato,20.417965853079533,-100.95551521406065,242.7,
land,Oaxaca,999.99,-97.1071035565407,362.6,450659.6
Townhouse,OAXACA,16.57136933195717,-96.51750198962668,438.9,558024.45
Apartment,COAHUILA,27.362916931744763,-101.68218009161605,419.6,413601.17
Villa,chiapas,17.110054910976313,-92.83846340955748,301.0,286596.51
HOUSE,Baja California,31.28054317365038,-114.95733950206908,323.0,"$193,886.41"
Condo,Michoacan ,18.830629461519997,,291.3,243553.11
Land,Chihuahua,28.623335099915074,-106.291665560889,442.9,"$720,319.13"
HOUSE,Sonora ,,-110.50477141496371,355.0,321583.54
townhouse,puebla,18.88460450885037,-97.91690694812786,343.2,107028.07
House,Guanajuato,21.52419813319012,-101.46802750421477,277.2,384749.81
Villa,michoacan,20.271568727396353,-101.9332045893274,307.9,228054.16
condo,guanajuato,20.83310633404326,-101.51225734691336,360.5,533896.95
Casa,baja california,30.76755852505087,-115.0577001447761,90.7,64329.48
Apartment,SONORA,28.816666462550895,-109.95421349561147,119.1,146242.0
villa,yucatan,999.99,-88.66270042060002,224.2,378045.47
Apartment,Yucatan ,20.376217042528086,-88.78236757172463,135.6,206754.98
house,SONORA,29.20745340976175,-110.4154925445276,290.2,365420.99
,Quintana Roo,18.81839649882121,-88.5020728099224,366.2,571549.76
house,OAXACA,16.319305967313955,-96.43145738658964,89.2,41871.03
land,Veracruz,18.98064234885407,-96.56673749313937,113.2,
