property_type,state,lat,lon,area_m2,price_usd
Condo,Michoacan,28.974293069733523,-106.10160489777903,269.7,
House,Ciudad de Mexico,28.855725586326862,-106.08957996939206,268.2,327355.13
villa,OAXACA,19.163374389718726,-98.95058437174005,108.6,7215680.28
Departamento,Yucatan,29.13328754499975,-110.79135173748331,-282.8,18965969.11
Terreno,Veracruz,19.71764095885181,-88.40101320728986,81.1,11297383.16
Condo,puebla,19.832804409377477,-98.15740906010988,76.2,120334.21
HOUSE,Baja California,17.433676057175017,-93.82178670698136,75.1,113975.81
Apartment,Quintana Roo,25.535721827472724,-99.97954081064995,310.0,468041.13
house,Guanajuato,20.067603389884894,-99.14532457251013,204.8,"$121,627.07"
townhouse,Guanajuato ,18.6120359771844,-96.62710870881342,145.9,125412.34
house,Guanajuato,20.237292608672565,-103.11733939888086,48.4,47184.38
Departamento,Ciudad de Mexico,21.404179042678745,-89.68312739082768,186.6,269466.99
townhouse,Puebla,16.152470056567296,-93.36344307258597,395.3,692801.96
,Ciudad de Mexico,21.634303779724224,-101.67647703161452,171.7,151941.79
Casa,Chiapas,21.36938749764815,-103.93182104573324,78.8,"$60,758.73"
condo,Quintana Roo ,18.662825574954642,-98.06062781015788,353.1,138463.21
Casa,Michoacan ,20.584021423766746,-101.17253964007924,278.1,405539.63
Apartment,Veracruz ,19.456107816089315,-97.95001812435962,59.0,80833.2
House,jalisco,20.35989566844126,-101.65356183849246,393.9,118850.11
,Guanajuato,20.77385129575187,-103.74864583958104,96.8,164496.17
land,Quintana Roo,30.865323215864343,-115.07109463077472,346.7,220834.38
townhouse,NUEVO LEON,19.33691467289598,-98.34129130356142,,385307.18
Land,GUANAJUATO,26.776361334917254,-102.46060079649611,234.1,164801.17
Condo,Michoacan,31.302376774416246,-116.03041675000699,412.5,380842.54
Departamento,oaxaca,19.662158470139268,-97.4135441442753,184.1,317043.49
apartment,Ciudad de Mexico,26.27556512988447,-99.2191957766618,169.8,113795.84
apartment,Sonora,,-101.18779814463312,133.7,135514.04
apartment,chihuahua,18.719967289415276,-87.89011297506943,-54.3,464280.71
Land,Jalisco,16.51935386635374,-93.78395309913687,428.7,231856.39
apartment,Yucatan,999.99,-89.11766525905199,6702.7,6055205.95
apartment,Coahuila,20.597761813436627,-89.44110564787128,4976.3,
townhouse,GUANAJUATO,31.137309951138107,-114.98244537283752,,268721.96
Townhouse,Michoacan,31.15401164577132,-114.64946288343944,70.2,"$98,489.64"
,Chiapas,25.60145742539315,-100.02057695609152,248.0,332743.1
Land,yucatan,19.461673741769633,-101.78140505232457,342.8,164257.59
,Baja California,19.27506594315141,-95.9576892171619,123.4,207292.4
Apartment,ciudad de mexico,18.4598835076924,-95.74432805400681,392.1,250286.35
apartment,Chiapas,18.48288235056708,-96.12597543926991,73.2,45386.25
townhouse,Ciudad de Mexico,28.684905919109337,-109.5315847887715,285.8,478054.71
house,Veracruz,18.862252165831634,,314.4,396814.97
