property_type,place_with_parent_names,lat-lon,area_m2,price_usd
Apartment,Mexico|Nuevo Leon|Apodaca,"26.272386538797807,-99.69333858664358",374.1,198546.39
condo,Mexico|Jalisco|Guadalajara,"21.179816414272228,-103.90928381708474",350.1,192501.01
Apartamento,Mexico|Baja California|Ensenada,"30.75686615263983,-114.61153555826392",314.5,
villa,Mexico|Quintana Roo|Cozumel,"18.402178035272414,-88.6815511701174",292.1,338234.86
land,Mexico|Puebla|Atlixco,"19.704376168280493,-98.6765463059634",291.3,143420.13
HOUSE,Mexico|Puebla|Puebla de Zaragoza,"18.975900448784394,-97.90542890349666",365.4,129193.79
apartment,Mexico|Quintana Roo|Playa del Carmen,"18.93073034081085,-87.88455182271785",376.7,671737.63
Condo,Mexico|Oaxaca|Huatulco,"17.649145240898292,-96.86048246601753",49.0,23459.96
HOUSE,Mexico|Coahuila|Monclova,"27.44369666449057,-101.197436163446",149.7,142291.93
condo,Mexico|Guanajuato|Leon,"21.191533406392164,-101.08404505385387",82.9,19833634.66
Departamento,Mexico|Guanajuato|Celaya,"20.252343348147757,-100.7263453634939",160.2,213031.66
Villa,Mexico|Coahuila|Saltillo,"26.781442343274858,-102.38900204248448",168.4,109986.33
Departamento,Mexico|Veracruz|Xalapa,"19.101422077325935,-96.51988457722186",74.4,107545.48
land,Mexico|Chihuahua|Delicias,"28.623738325197287,-106.11785688518665",286.0,
House,Mexico|Baja California|Mexicali,"31.094029430311735,-115.34105484294352",337.4,105047.3
Departamento,Mexico|Jalisco|Tlaquepaque,"20.5891260199878,-102.66140677363329",48.4,28775.63
townhouse,Mexico|Veracruz|Coatzacoalcos,"18.815789742364874,-95.35412126586559",179.9,224022.4
apartment,Mexico|Oaxaca|Oaxaca de Juarez,"16.518951145084138,-97.26485425248659",172.0,79969.46
House,Mexico|Jalisco|Zapopan,"20.02121430582017,-103.20523220288209",234.2,283295.31
Casa,Mexico|Veracruz|Xalapa,,,224168.89
townhouse,Mexico|Baja California|Ensenada,"30.095475702601433,-115.77074716462079",,226937.41
house,Mexico|Quintana Roo|Tulum,"18.998968135102725,-88.15103736587541",210.9,107693.7
Departamento,Mexico|Nuevo Leon|Apodaca,,359.9,370087.87
Villa,Mexico|Nuevo Leon|Apodaca,"25.80904785062231,-100.57882029266844",425.9,188238.91
,Mexico|Michoacan|Uruapan,"19.906247564280903,-100.98855942733745",95.3,164115.07
