property_type,state,lat,lon,area_m2,price_usd
apartment,CIUDAD DE MEXICO,19.16337438971873,-98.95058437174004,108.6,7215680.28
Townhouse,Sonora,29.13328754499975,-110.79135173748332,-282.8,18965969.11
Terreno,QUINTANA ROO,19.71764095885181,-88.40101320728986,81.1,11297383.16
Apartamento,nuevo leon,25.535721827472724,-99.97954081064997,310.0,468041.13
Land,Ciudad de Mexico ,20.06760338988489,-99.14532457251012,204.8,121627.07
Terreno,JALISCO,20.237292608672565,-103.11733939888086,48.4,47184.38
HOUSE,Yucatan,21.404179042678745,-89.68312739082768,186.6,269466.99
Departamento,CHIAPAS,16.152470056567296,-93.36344307258597,395.3,692801.96
condo,Guanajuato,21.634303779724224,-101.67647703161452,171.7,151941.79
Departamento,Jalisco ,21.36938749764815,-103.93182104573324,78.8,60758.73
apartment,Puebla,18.66282557495464,-98.06062781015788,353.1,138463.21
condo,GUANAJUATO,20.584021423766742,-101.17253964007924,278.1,405539.63
townhouse,Puebla,19.456107816089315,-97.95001812435962,59.0,80833.2
Terreno,Guanajuato,20.35989566844126,-101.65356183849246,393.9,118850.11
Villa,jalisco,20.77385129575187,-103.74864583958104,96.8,164496.17
House,Baja California,30.865323215864343,-115.07109463077472,346.7,220834.38
Casa,Coahuila,26.77636133491725,-102.46060079649612,234.1,164801.17
Land,Puebla,19.662158470139268,-97.4135441442753,184.1,317043.49
house,Nuevo Leon,26.27556512988447,-99.2191957766618,169.8,113795.84
condo,CHIAPAS,16.51935386635374,-93.78395309913688,428.7,231856.39
Condo,Quintana Roo,999.99,-89.11766525905199,6702.7,6055205.95
Condo,Baja California,31.15401164577132,-114.64946288343944,70.2,98489.64
house,nuevo leon,25.60145742539315,-100.02057695609152,248.0,332743.1
House,michoacan,19.461673741769637,-101.78140505232456,342.8,164257.59
Terreno,Veracruz ,19.27506594315141,-95.9576892171619,123.4,207292.4
Departamento,Veracruz ,18.4598835076924,-95.7443280540068,392.1,250286.35
Departamento,Veracruz,18.48288235056708,-96.12597543926992,73.2,45386.25
villa,Sonora,28.684905919109337,-109.5315847887715,285.8,478054.71
house,Veracruz,18.97435611254488,-95.608108835894,349.7,341632.82
Apartment,Guanajuato,20.267422611538947,-101.29686502074138,105.9,127785.33
apartment,chihuahua,28.06372777499029,-999.99,51.1,76953.98
Casa,Veracruz,19.09436700902467,-96.05442865677212,288.6,128433.42
House,OAXACA,17.779771180589755,-97.27988917299272,286.1,327706.68
apartment,NUEVO LEON,24.863137101272333,-99.9225780076677,358.3,481226.95
villa,Coahuila ,27.31186770548589,-102.06763139171484,6032.0,6303988.49
HOUSE,Michoacan,19.24895025973655,-102.4476477242299,342.1,611635.78
land,sonora,29.28786905238716,-110.92258106995452,448.0,589470.77
condo,Quintana Roo,19.53381946256671,-88.49737544504194,303.0,451287.99
Villa,Sonora,29.88292607198585,-110.73141641289898,351.0,363000.02
Casa,Ciudad de Mexico ,19.760176985535576,-99.60394483301228,61.0,98086.11
villa,Guanajuato,21.50806937849214,-101.77482835734462,387.5,535075.69
land,Ciudad de Mexico,19.251105073185578,-99.6725481510422,390.7,514373.3
Land,Chiapas,17.338289634877125,-93.02032095219182,323.8,575925.95
Land,Coahuila,27.45961133060031,-102.27305947885468,260.4,427980.02
townhouse,Puebla,18.546376593516683,-98.04729584212016,64.0,101223.59
Apartment,Jalisco ,21.419057604600734,-103.00610796593472,137.6,82390.73
Apartment,Puebla,19.638730301644028,-98.93664491973315,345.1,138502.21
condo,Quintana Roo ,19.90219324217624,-88.28985103842618,347.1,163859.98
land,Veracruz,19.49022984415051,-96.68908402783252,438.0,509342.44
land,Guanajuato,21.113873883701665,-101.27682224031308,290.6,194518.56
Terreno,jalisco,20.896035502054016,-103.90324620091468,327.7,335482.67
house,Sonora,29.930124704223772,-110.39736715432936,244.8,218245.79
House,Veracruz,19.23121676114462,-96.60098004768614,403.5,707908.45
Apartment,Chiapas,17.433176863135287,-93.84275581706927,139.3,227772.13
apartment,chihuahua,28.36125962438888,-106.68775808389763,280.2,256760.94
house,Baja California ,30.702791308579418,-115.2885129049653,429.6,323693.91
House,GUANAJUATO,20.44151018510135,-101.16872547396903,208.2,335015.36
Departamento,OAXACA,16.286190803855547,-95.94832536241503,157.1,15550311.87
Apartment,Puebla,19.82286240310298,-97.7384701428801,435.4,761092.43
HOUSE,Chiapas,17.24796456408703,-92.77195187228,344.5,126753.51
townhouse,Chihuahua,28.99770107272101,-105.43274222259724,381.7,196750.67
Land,Michoacan,19.423924059678757,-101.89393044339673,50.5,26046.84
Townhouse,Chihuahua ,28.699218409609635,-105.31597114052228,383.9,356239.28
land,Puebla,19.47215087987224,-98.99575988124232,154.0,107649.61
house,Quintana Roo,18.48414143412215,-89.2454451839887,38.0,14755.8
condo,Yucatan,21.01263687849544,-89.87538803422329,170.1,117292.65
Terreno,Sonora,28.997835986258394,-110.15249220052792,253.0,374536.09
Land,Jalisco,20.260803776566284,-103.35396194859956,3341.1,4400767.16
land,Oaxaca,999.99,-97.1071035565407,362.6,450659.6
Townhouse,OAXACA,16.57136933195717,-96.51750198962668,438.9,558024.45
Apartment,COAHUILA,27.362916931744763,-101.68218009161605,419.6,413601.17
Villa,chiapas,17.110054910976313,-92.83846340955748,301.0,286596.51
HOUSE,Baja California,31.28054317365038,-114.95733950206908,323.0,193886.41
Land,Chihuahua,28.623335099915074,-106.291665560889,442.9,720319.13
townhouse,puebla,18.88460450885037,-97.91690694812786,343.2,107028.07
House,Guanajuato,21.52419813319012,-101.46802750421476,277.2,384749.81
Villa,michoacan,20.271568727396357,-101.9332045893274,307.9,228054.16
condo,guanajuato,20.83310633404326,-101.51225734691336,360.5,533896.95
Casa,baja california,30.76755852505087,-115.0577001447761,90.7,64329.48
Apartment,SONORA,28.81666646255089,-109.95421349561148,119.1,146242.0
villa,yucatan,999.99,-88.66270042060002,224.2,378045.47
Apartment,Yucatan ,20.376217042528086,-88.78236757172463,135.6,206754.98
house,SONORA,29.20745340976175,-110.4154925445276,290.2,365420.99
house,OAXACA,16.319305967313955,-96.43145738658964,89.2,41871.03
villa,coahuila,26.591856384979973,-101.88519535737645,431.1,322385.2
Condo,NUEVO LEON,25.57227989182615,-100.22848005411824,282.4,320153.08
apartment,Veracruz,19.40986920649089,-96.91395655973464,214.9,351869.21
townhouse,Oaxaca,17.608640896146802,-96.90394942821224,348.6,621455.12
HOUSE,Chiapas,16.390419596136653,-93.2085293903824,322.0,443007.0
townhouse,NUEVO LEON,26.023370235536085,-100.63899749605493,447.0,158608.48
HOUSE,Oaxaca,17.431751495730854,-96.31483317682434,176.7,267702.09
Townhouse,Chihuahua,28.1943175632545,-105.68047915899824,74.3,29787.22
apartment,SONORA,29.78673093412432,-110.96577754686652,193.8,312356.36
apartment,veracruz,19.03107219306427,-96.27910635605646,-166.6,243599.94
condo,Baja California,31.097285019507257,-115.8325086505906,36.1,42984.88
Terreno,CHIHUAHUA,29.096088371670056,-105.83897011500328,285.3,292945.84
Land,Sonora ,29.14350091722237,-110.1006930430754,291.5,238410.83
HOUSE,Chihuahua,27.92175603837729,-106.75594145752008,200.5,350388.58
Casa,guanajuato,20.712292349140007,-101.63338731693648,319.7,17538871.26
House,Quintana Roo,18.62158687416665,-88.05434097871421,368.0,475012.74
Land,Sonora,29.231463153651777,-110.71927619163276,363.2,521528.0
Land,Quintana Roo ,19.955997636450963,-88.30106164310291,402.7,554726.85
condo,Oaxaca,17.085060075148807,-97.27903171862678,180.3,85160.73
villa,yucatan,21.4920097339276,-88.99693276713849,333.7,275104.43
Casa,BAJA CALIFORNIA,31.088557710197424,-116.0640236592225,343.6,218521.83
land,Baja California,30.78975067478842,-115.95710699077596,443.4,332821.79
land,Coahuila,26.977926045432405,-102.11859256199196,197.6,89709.47
Villa,Sonora,29.676588566565403,-110.50734276823488,210.2,304118.92
